,col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA,Dec,z_paul,CIV_blue,CIV_EW,CIV_Distance,Separation_1a,NVSSff (Jy/beam,RA2000_1,DEC2000_1,Separation_1b,Dec+1,RA2000x,DEC2000x,NVSSblank (Jy/beam),RA2000_2,DEC2000_2,Separation_1c,r_z,Separation_1d,Peak_flux,E_Peak_flux,Separation
24,2210,SDSSJ110643.99+494152.0,166.683321,49.697778,110643.99+494152.0,166.68331909179702,49.6977767944336,1.6697000265121498,2.0,1.0,1,-27.4334200035077,0.0,0.0,0.0,-26.7252451603441,-1.0,46.228601923449,45.933112411454104,0.0062112206183663,166.68332086813206,49.697779452165186,1.6670900000000002,139.00454898646743,33.06362792221933,0.5439466432796531,0.005236804724504459,0.00022999999999999998,166.6833333333333,49.69777777777777,0.02872991977340836,50.697778,11:06:44.00,+50:41:52.0,,,,,VI,0.0062112206023651395,,,0.0062112206023651395
38,2215,SDSSJ112934.85+481147.3,172.395245,48.196486,112934.85+481147.3,172.39524841308602,48.19648742675779,1.6809999942779499,1048579.0,1.0,1,-26.5477044978402,0.0,0.0,0.0,-27.010949638946702,-1.0,45.8702067927178,46.13757022035979,0.0096676363468146,172.395245,48.196486,1.6761700000000002,420.61844944920153,49.23326705408678,0.5001374404458907,0.0,0.0003,172.39524999999998,48.196472222222226,0.05103059689186406,49.196486,11:29:34.86,+49:11:47.3,,,,,DR7Q,0.009667636346814659,,,0.009667636346814659
46,2220,SDSSJ113653.01+482812.8,174.220914,48.470234000000005,113653.01+482812.8,174.220916748047,48.4702339172363,1.65489995479584,3.0,1.0,1,-26.4289357328793,0.0,0.0,0.0,-27.0296798760829,-1.0,45.890624559762294,45.820461500239894,0.0065658915476332,,,,,,,,0.00098,174.22091666666668,48.470222222222226,0.04287507195348006,49.470234000000005,11:36:53.02,+49:28:12.8,,,,,DR7Q,0.006565891547633256,1.0841284283189478,0.07273727600659184,0.006565891547633256
56,3012,SDSSJ145844.83+492439.7,224.686796,49.411041,145844.83+492439.7,224.686798095703,49.411041259765604,1.7134000062942498,1048579.0,1.0,1,-26.366832864625803,0.0,0.0,0.0,-27.086063828538197,-1.0,45.800917110106106,46.084546827372506,0.0049969671494778,224.686796,49.411041,1.7149,1430.9429416092248,33.75353224636082,0.6676832380324329,0.0,0.00026000000000000003,224.68679166666664,49.411027777777775,0.04867009730348138,50.411041,14:58:44.83,+50:24:39.7,,,,,DR7Q,0.004996967145192236,,,0.004996967145192236
57,2226,SDSSJ115729.71+495940.3,179.373821,49.994545,115729.71+495940.3,179.373825073242,49.994544982910206,1.7003999948501598,2.0,1.0,1,-27.924286868400504,0.0,0.0,0.0,-26.5192870028831,-1.0,46.4130075764638,46.4746004915143,0.0094268967826282,179.37382413041283,49.994547877642994,1.7040799999999998,1754.4468071250933,22.50003754659512,0.7683462391210514,0.012641413560929928,-0.0008300000000000001,179.37383333333332,49.994555555555564,0.0475258153406074,50.994545,11:57:29.72,+50:59:40.4,,,,,VI,0.00942689678262825,1.0583407202096922,0.05638257006817059,0.00942689678262825
58,2228,SDSSJ120554.84+494236.3,181.478533,49.710091999999996,120554.84+494236.3,181.47853088378898,49.710090637207,1.66600000858307,1048578.0,1.0,1,-26.4024599147859,0.0,0.0,0.0,-27.0439752141861,-1.0,45.838592673573295,46.10236334794929,0.0069526482364845,,,,,,,,0.00062,181.47854166666664,49.71008333333335,0.037155038667415055,50.710091999999996,12:05:54.85,+50:42:36.3,,,,,DR7Q,0.006952648278455833,,,0.006952648278455833
68,8518,SDSSJ134844.91+491330.8,207.18714599999998,49.225224,134844.91+491330.8,207.187149047852,49.225223541259794,1.65180003643036,3.0,1.0,1,-26.8950201270125,0.0,0.0,0.0,-26.8000271517413,-1.0,46.063177497121,46.273840146382504,0.0073536861769218,,,,,,,,0.00086,207.18716666666668,49.22522222222222,0.04900937061247243,50.225224,13:48:44.92,+50:13:30.8,,,,,DR7Q,0.007353686230073785,,,0.007353686230073785
598,1604,SDSSJ152222.02+524743.9,230.59176000000002,52.795547,152222.02+524743.9,230.591766357422,52.7955474853516,1.69420003890991,1048579.0,1.0,1,-26.397804049446396,0.0,0.0,0.0,-27.0914790701232,-1.0,45.773325602614605,46.1606807646145,0.0139485748147166,230.59176000000002,52.795547,1.6857400000000002,436.6308795900203,42.12959232328268,0.5309834874372392,0.0,-0.0,230.59175,52.795555555555566,0.0377157378310621,53.795547,15:22:22.02,+53:47:44.0,,,,,DR7Q,0.013948574814716551,,,0.013948574814716551
609,363,SDSSJ082233.63+501712.3,125.640133,50.286753000000004,082233.63+501712.3,125.64013671875,50.2867546081543,1.7348999977111799,1048580.0,0.0,1,-26.5624275844024,0.0,0.0,0.0,-27.039697544253396,-1.0,45.8910683295929,46.1158789914973,0.0103288716185553,125.640133,50.286753000000004,1.7367099999999998,1335.47529880546,43.454880590281505,0.6164550078751212,0.0,0.00056,125.64012499999995,50.28675,0.021336827907390936,51.286753000000004,08:22:33.63,+51:17:12.3,,,,,,,,,
618,373,SDSSJ082846.01+490938.4,127.19172900000001,49.160675,082846.01+490938.4,127.19172668456999,49.160675048828104,1.74730002880096,1048580.0,0.0,1,-26.190946755551,0.0,0.0,0.0,-27.1219386168207,-1.0,45.8083659083382,46.0068938830818,0.0054537811825268,127.19172900000001,49.160675,1.74584,214.1612445399542,41.54823400859549,0.51394186528372,0.0,-0.00021,127.19170833333334,49.16066666666666,0.057158797589690995,50.160675,08:28:46.01,+50:09:38.4,,,,,,,,,
